Date,Open,High,Low,Close,Adj Close,Volume,company_name
2019-01-15,37.567501068115234,38.34749984741211,37.51250076293945,38.26750183105469,36.72955322265625,114843600,APPLE
2019-01-16,38.27000045776367,38.970001220703125,38.25,38.73500061035156,37.17827606201172,122278800,APPLE
2019-01-17,38.54999923706055,39.415000915527344,38.314998626708984,38.96500015258789,37.3990364074707,119284800,APPLE
2019-01-18,39.375,39.470001220703125,38.994998931884766,39.20500183105469,37.629390716552734,135004000,APPLE
2019-01-22,39.102500915527344,39.182498931884766,38.154998779296875,38.32500076293945,36.78474807739258,121576000,APPLE
2019-01-23,38.537498474121094,38.78499984741211,37.92499923706055,38.47999954223633,36.93352127075195,92522400,APPLE
2019-01-24,38.52750015258789,38.619998931884766,37.935001373291016,38.17499923706055,36.640785217285156,101766000,APPLE
2019-01-25,38.869998931884766,39.532501220703125,38.58000183105469,39.439998626708984,37.854942321777344,134142000,APPLE
2019-01-28,38.9474983215332,39.08250045776367,38.415000915527344,39.07500076293945,37.50460433959961,104768400,APPLE
2019-01-29,39.0625,39.532501220703125,38.52750015258789,38.66999816894531,37.11587905883789,166348800,APPLE
2019-01-30,40.8125,41.537498474121094,40.057498931884766,41.3125,39.652191162109375,244439200,APPLE
2019-01-31,41.52750015258789,42.25,41.13999938964844,41.61000061035156,39.93772888183594,162958400,APPLE
2019-02-01,41.7400016784668,42.244998931884766,41.48249816894531,41.630001068115234,39.95692825317383,130672400,APPLE
2019-02-04,41.852500915527344,42.915000915527344,41.81999969482422,42.8125,41.09189987182617,125982000,APPLE
2019-02-05,43.21500015258789,43.77000045776367,43.087501525878906,43.54499816894531,41.794960021972656,144406400,APPLE
2019-02-06,43.662498474121094,43.89250183105469,43.212501525878906,43.560001373291016,41.80937194824219,112958400,APPLE
2019-02-07,43.099998474121094,43.48500061035156,42.584999084472656,42.73500061035156,41.017520904541016,126966800,APPLE
2019-02-08,42.247501373291016,42.665000915527344,42.10499954223633,42.602500915527344,41.065711975097656,95280000,APPLE
2019-02-11,42.76250076293945,42.8025016784668,42.3125,42.35749816894531,40.829551696777344,83973600,APPLE
2019-02-12,42.525001525878906,42.75,42.42499923706055,42.72249984741211,41.18138885498047,89134000,APPLE
2019-02-13,42.84749984741211,43.119998931884766,42.47999954223633,42.54499816894531,41.010284423828125,89960800,APPLE
2019-02-14,42.4275016784668,42.814998626708984,42.345001220703125,42.70000076293945,41.15969467163086,87342800,APPLE
